round_epochs,val_loss,val_acc,loss,acc,batch_size,dropout,epochs,first_neuron,last_activation,loss,lr,optimizer,weight_regulizer
200,0.44567492140663995,0.9555555555555556,0.46716864002602443,0.9809523809523809,2,0.0,200,4,softmax,categorical_crossentropy,0.1,<class 'keras.optimizers.Adam'>,None
200,0.22769576460123062,0.9777777777777777,0.24557342298683665,0.9619047619047619,2,0.0,200,4,softmax,categorical_crossentropy,0.1,<class 'keras.optimizers.Nadam'>,None
200,0.09642013682168908,0.9555555555555556,0.05468930783667712,0.9714285714285714,2,0.0,200,4,softmax,categorical_crossentropy,3.4000000000000004,<class 'keras.optimizers.Adam'>,None
200,0.14589487802364198,0.9333333333333333,0.04236918602114851,0.9714285714285714,2,0.0,200,4,softmax,categorical_crossentropy,3.4000000000000004,<class 'keras.optimizers.Nadam'>,None
200,0.06343481916733759,0.9777777777777777,0.050864749573658975,0.9714285714285714,2,0.0,200,4,softmax,categorical_crossentropy,6.7,<class 'keras.optimizers.Adam'>,None
200,0.20900397186552355,0.9111111111111111,0.05663940249254492,0.9714285714285714,2,0.0,200,4,softmax,categorical_crossentropy,6.7,<class 'keras.optimizers.Nadam'>,None
200,0.4711040483580695,0.8666666666666667,0.48332223622571857,0.9619047619047619,2,0.0,200,8,softmax,categorical_crossentropy,0.1,<class 'keras.optimizers.Adam'>,None
200,0.4444389541943868,0.9111111111111111,0.4626572591917855,0.9047619047619048,2,0.0,200,8,softmax,categorical_crossentropy,0.1,<class 'keras.optimizers.Nadam'>,None
200,0.061822792970795286,0.9555555555555556,0.05519250767566042,0.9809523809523809,2,0.0,200,8,softmax,categorical_crossentropy,3.4000000000000004,<class 'keras.optimizers.Adam'>,None
200,0.20514107005959786,0.9111111111111111,0.05284743083023459,0.9809523809523809,2,0.0,200,8,softmax,categorical_crossentropy,3.4000000000000004,<class 'keras.optimizers.Nadam'>,None
200,0.11319630866221107,0.9555555555555556,0.06244838421869731,0.9619047619047619,2,0.0,200,8,softmax,categorical_crossentropy,6.7,<class 'keras.optimizers.Adam'>,None
200,0.12434408750494994,0.9333333333333333,0.08843232904723014,0.9714285714285714,2,0.0,200,8,softmax,categorical_crossentropy,6.7,<class 'keras.optimizers.Nadam'>,None
200,1.1145521190431382,0.24444444444444444,1.0972274893806093,0.37142857142857144,2,0.13333333333333333,200,4,softmax,categorical_crossentropy,0.1,<class 'keras.optimizers.Adam'>,None
200,0.4688016500737932,0.9333333333333333,0.5862577721831345,0.8380952380952381,2,0.13333333333333333,200,4,softmax,categorical_crossentropy,0.1,<class 'keras.optimizers.Nadam'>,None
200,0.2165724487768279,0.9555555555555556,0.3953904393882979,0.9047619047619048,2,0.13333333333333333,200,4,softmax,categorical_crossentropy,3.4000000000000004,<class 'keras.optimizers.Adam'>,None
200,0.18776540116496107,0.9111111111111111,0.0883841525928199,0.9714285714285714,2,0.13333333333333333,200,4,softmax,categorical_crossentropy,3.4000000000000004,<class 'keras.optimizers.Nadam'>,None
200,0.09586402457854193,0.9777777777777777,0.22378280885251506,0.8761904761904762,2,0.13333333333333333,200,4,softmax,categorical_crossentropy,6.7,<class 'keras.optimizers.Adam'>,None
200,0.13823191625997425,0.9555555555555556,0.3461472280790076,0.780952380952381,2,0.13333333333333333,200,4,softmax,categorical_crossentropy,6.7,<class 'keras.optimizers.Nadam'>,None
200,0.3947081493006812,0.9555555555555556,0.4911924386663096,0.8285714285714286,2,0.13333333333333333,200,8,softmax,categorical_crossentropy,0.1,<class 'keras.optimizers.Adam'>,None
200,0.2965597450733185,0.9777777777777777,0.44291678894133796,0.8666666666666667,2,0.13333333333333333,200,8,softmax,categorical_crossentropy,0.1,<class 'keras.optimizers.Nadam'>,None
200,0.09898070767780559,0.9555555555555556,0.1850860492503714,0.9333333333333333,2,0.13333333333333333,200,8,softmax,categorical_crossentropy,3.4000000000000004,<class 'keras.optimizers.Adam'>,None
200,0.1957125273972963,0.9333333333333333,0.07666416013842663,0.9809523809523809,2,0.13333333333333333,200,8,softmax,categorical_crossentropy,3.4000000000000004,<class 'keras.optimizers.Nadam'>,None
200,0.13431400808417998,0.9333333333333333,0.12335708192351723,0.9523809523809523,2,0.13333333333333333,200,8,softmax,categorical_crossentropy,6.7,<class 'keras.optimizers.Adam'>,None
200,0.07441410725781074,0.9777777777777777,0.1601385847404821,0.9238095238095239,2,0.13333333333333333,200,8,softmax,categorical_crossentropy,6.7,<class 'keras.optimizers.Nadam'>,None
200,0.5768959138128492,0.9111111111111111,0.7176422522181556,0.6285714285714286,2,0.26666666666666666,200,4,softmax,categorical_crossentropy,0.1,<class 'keras.optimizers.Adam'>,None
200,0.7449359827571445,0.8666666666666667,0.8052393748646691,0.6571428571428571,2,0.26666666666666666,200,4,softmax,categorical_crossentropy,0.1,<class 'keras.optimizers.Nadam'>,None
200,0.16075152230914683,0.9777777777777777,0.41196868852989393,0.7142857142857143,2,0.26666666666666666,200,4,softmax,categorical_crossentropy,3.4000000000000004,<class 'keras.optimizers.Adam'>,None
200,1.1212838543785943,0.24444444444444444,1.0995319434574673,0.37142857142857144,2,0.26666666666666666,200,4,softmax,categorical_crossentropy,3.4000000000000004,<class 'keras.optimizers.Nadam'>,None
200,0.5562833457538444,0.6,0.8365611570503569,0.5619047619047619,2,0.26666666666666666,200,4,softmax,categorical_crossentropy,6.7,<class 'keras.optimizers.Adam'>,None
200,0.21119717044962777,0.9777777777777777,0.4286516624458489,0.819047619047619,2,0.26666666666666666,200,4,softmax,categorical_crossentropy,6.7,<class 'keras.optimizers.Nadam'>,None
