round_epochs,val_loss,val_acc,loss,acc,alphabet_size,batch_size,control_class_weight,conv_activation,conv_bias_initializer,conv_kernel_initializer,conv_output_space,conv_padding,dense_activation,dense_bias_initializer,dense_kernel_initializer,dense_units_layer_2,dense_units_layer_3,dropout,epochs,large_filter_length,last_activation,loss,lr,max_sentence_length,number_of_large_filters,number_of_small_filters,optimizer,pd_class_weight,pool_length,small_filter_length
6,0.12002281316070475,0.6324786233086871,0.12012247501866265,0.5919923732346642,51,64,0.7875375375375375,relu,uniform,uniform,32,same,relu,uniform,uniform,32,32,0.30000000000000004,200,32,sigmoid,logcosh,0.1,200,1,2,<class 'keras.optimizers.Adam'>,1.3694516971279374,2,2
6,0.6981382502449883,0.3675213676487279,0.6932927964413246,0.36510962844463163,51,16,0.7875375375375375,relu,uniform,uniform,16,same,relu,uniform,uniform,16,32,0.4,200,8,sigmoid,binary_crossentropy,0.1,200,4,2,<class 'keras.optimizers.Adam'>,1.3694516971279374,2,4
6,0.11982043138426593,0.6324786233086871,0.12012612366528598,0.6348903718394706,51,64,0.7875375375375375,relu,uniform,uniform,16,same,relu,uniform,uniform,16,32,0.2,200,32,sigmoid,logcosh,4.06,200,4,4,<class 'keras.optimizers.Adam'>,1.3694516971279374,2,8
9,0.6932251061129774,0.3675213686676107,0.6932727973499789,0.485224022708471,51,32,0.7875375375375375,relu,uniform,uniform,16,same,relu,uniform,uniform,32,64,0.1,200,16,sigmoid,binary_crossentropy,6.039999999999999,200,4,4,<class 'keras.optimizers.Adam'>,1.3694516971279374,2,2
6,0.12026565006146064,0.3675213676487279,0.12013256245845835,0.5347950431252798,51,16,0.7875375375375375,relu,uniform,uniform,8,same,relu,uniform,uniform,32,64,0.2,200,32,sigmoid,logcosh,2.08,200,1,1,<class 'keras.optimizers.Nadam'>,1.3694516971279374,2,2
6,0.1210024423069424,0.36752136319111556,0.12015443899667866,0.365109628359401,51,64,0.7875375375375375,relu,uniform,uniform,32,same,relu,uniform,uniform,16,32,0.4,200,8,sigmoid,logcosh,8.02,200,2,2,<class 'keras.optimizers.Adam'>,1.3694516971279374,2,8
7,0.6924815590565021,0.6324786340069567,0.6935455227489126,0.44137273596739973,51,32,0.7875375375375375,relu,uniform,uniform,8,same,relu,uniform,uniform,32,64,0.2,200,32,sigmoid,binary_crossentropy,6.039999999999999,200,1,1,<class 'keras.optimizers.Nadam'>,1.3694516971279374,2,2
7,0.6934982023687444,0.36752136319111556,0.6931826881957804,0.365109628359401,51,64,0.7875375375375375,relu,uniform,uniform,32,same,relu,uniform,uniform,32,64,0.1,200,8,sigmoid,binary_crossentropy,4.06,200,4,1,<class 'keras.optimizers.Adam'>,1.3694516971279374,2,8
8,0.693631668885549,0.3675213686676107,0.6933753814324524,0.4041944707542289,51,32,0.7875375375375375,relu,uniform,uniform,16,same,relu,uniform,uniform,32,64,0.4,200,16,sigmoid,binary_crossentropy,2.08,200,2,4,<class 'keras.optimizers.Nadam'>,1.3694516971279374,2,8
10,0.12017936819893682,0.3675213686676107,0.1201253151032786,0.4156339371539617,51,32,0.7875375375375375,relu,uniform,uniform,16,same,relu,uniform,uniform,16,64,0.4,200,32,sigmoid,logcosh,4.06,200,4,1,<class 'keras.optimizers.Adam'>,1.3694516971279374,2,2
6,0.11993648825038193,0.6324786329880739,0.1201942653614527,0.5605338419245128,51,16,0.7875375375375375,relu,uniform,uniform,16,same,relu,uniform,uniform,32,64,0.30000000000000004,200,8,sigmoid,logcosh,4.06,200,4,1,<class 'keras.optimizers.Nadam'>,1.3694516971279374,2,8
6,0.11952310252902854,0.6324786329880739,0.1202490079590431,0.5672068637649256,51,16,0.7875375375375375,relu,uniform,uniform,32,same,relu,uniform,uniform,16,64,0.4,200,8,sigmoid,logcosh,6.039999999999999,200,2,2,<class 'keras.optimizers.Adam'>,1.3694516971279374,2,2
