round_epochs,val_loss,val_acc,loss,acc,alphabet_size,batch_size,control_class_weight,conv_activation,conv_bias_initializer,conv_kernel_initializer,conv_output_space,conv_padding,dense_activation,dense_bias_initializer,dense_kernel_initializer,dense_units_layer_2,dense_units_layer_3,dropout,epochs,large_filter_length,last_activation,loss,lr,max_sentence_length,number_of_large_filters,number_of_small_filters,optimizer,pd_class_weight,pool_length,small_filter_length
7,0.6936013892165616,0.4102564059261583,0.6933286906538746,0.44804575820555564,51,64,0.7816691505216096,relu,uniform,uniform,16,same,relu,uniform,uniform,32,64,0.2,200,32,sigmoid,binary_crossentropy,4.06,200,1,4,<class 'keras.optimizers.Adam'>,1.3875661375661377,2,2
6,0.6936378891651447,0.410256410511131,0.693449407276139,0.5300285986085752,51,32,0.7816691505216096,relu,uniform,uniform,32,same,relu,uniform,uniform,32,64,0.2,200,16,sigmoid,binary_crossentropy,8.02,200,4,4,<class 'keras.optimizers.Adam'>,1.3875661375661377,2,2
6,0.1200937526857751,0.5897435948380039,0.12012453087462598,0.4756911349819318,51,32,0.7816691505216096,relu,uniform,uniform,32,same,relu,uniform,uniform,16,32,0.2,200,32,sigmoid,logcosh,4.06,200,2,4,<class 'keras.optimizers.Adam'>,1.3875661375661377,2,4
6,0.6926998913797557,0.5897435899983104,0.6932817392399245,0.6396568162425343,51,16,0.7816691505216096,relu,uniform,uniform,32,same,relu,uniform,uniform,32,64,0.4,200,16,sigmoid,binary_crossentropy,2.08,200,4,4,<class 'keras.optimizers.Adam'>,1.3875661375661377,2,4
13,0.6925121163710569,0.5897435948380039,0.6932188028148291,0.4575786463866584,51,32,0.7816691505216096,relu,uniform,uniform,8,same,relu,uniform,uniform,32,64,0.4,200,16,sigmoid,binary_crossentropy,2.08,200,4,1,<class 'keras.optimizers.Nadam'>,1.3875661375661377,2,4
6,0.6917052238415449,0.5897435899983104,0.693182255451286,0.6396568162425343,51,16,0.7816691505216096,relu,uniform,uniform,16,same,relu,uniform,uniform,16,64,0.0,200,16,sigmoid,binary_crossentropy,0.1,200,2,1,<class 'keras.optimizers.Adam'>,1.3875661375661377,2,2
6,0.12080018349692352,0.410256410511131,0.120138069850928,0.3603431840131576,51,32,0.7816691505216096,relu,uniform,uniform,8,same,relu,uniform,uniform,32,32,0.1,200,8,sigmoid,logcosh,0.1,200,1,1,<class 'keras.optimizers.Nadam'>,1.3875661375661377,2,2
6,0.6941066017517676,0.410256410511131,0.6936574124289877,0.39752144894222624,51,32,0.7816691505216096,relu,uniform,uniform,8,same,relu,uniform,uniform,32,64,0.30000000000000004,200,32,sigmoid,binary_crossentropy,8.02,200,1,4,<class 'keras.optimizers.Adam'>,1.3875661375661377,2,8
9,0.6931076049804688,0.5897435805736444,0.6933575515751615,0.44232602461504866,51,64,0.7816691505216096,relu,uniform,uniform,32,same,relu,uniform,uniform,16,32,0.1,200,16,sigmoid,binary_crossentropy,4.06,200,2,2,<class 'keras.optimizers.Nadam'>,1.3875661375661377,2,4
6,0.6943656002354418,0.4102564059261583,0.6936716189602651,0.37273593913156494,51,64,0.7816691505216096,relu,uniform,uniform,32,same,relu,uniform,uniform,16,32,0.4,200,32,sigmoid,binary_crossentropy,8.02,200,2,2,<class 'keras.optimizers.Nadam'>,1.3875661375661377,2,4
6,0.12085044320322509,0.41025641127529305,0.12014813782972195,0.36034318406997806,51,16,0.7816691505216096,relu,uniform,uniform,8,same,relu,uniform,uniform,32,64,0.1,200,16,sigmoid,logcosh,0.1,200,4,2,<class 'keras.optimizers.Adam'>,1.3875661375661377,2,8
6,0.12032523649370569,0.4102564059261583,0.12015477805136499,0.3651096285582725,51,64,0.7816691505216096,relu,uniform,uniform,32,same,relu,uniform,uniform,16,64,0.2,200,16,sigmoid,logcosh,2.08,200,1,1,<class 'keras.optimizers.Nadam'>,1.3875661375661377,2,4
