round_epochs,val_loss,val_acc,loss,acc,alphabet_size,batch_size,control_class_weight,conv_activation,conv_bias_initializer,conv_kernel_initializer,conv_output_space,conv_padding,dense_activation,dense_bias_initializer,dense_kernel_initializer,dense_units_layer_2,dense_units_layer_3,dropout,epochs,large_filter_length,last_activation,loss,lr,max_sentence_length,number_of_large_filters,number_of_small_filters,optimizer,pd_class_weight,pool_length,small_filter_length
6,0.12021308869887622,0.30769230310733503,0.12020909007784296,0.38036225032988225,51,64,0.7959028831562974,relu,uniform,uniform,32,same,relu,uniform,uniform,16,64,0.0,200,32,sigmoid,logcosh,8.02,200,1,2,<class 'keras.optimizers.Nadam'>,1.344871794871795,2,2
6,0.11961310535159886,0.6923076933265752,0.12020052232210471,0.38989513834052364,51,16,0.7959028831562974,relu,uniform,uniform,32,same,relu,uniform,uniform,32,32,0.1,200,8,sigmoid,logcosh,4.06,200,2,4,<class 'keras.optimizers.Nadam'>,1.344871794871795,2,2
6,0.11998329426233585,0.6923076953643408,0.1201627142904939,0.5481410864083623,51,32,0.7959028831562974,relu,uniform,uniform,16,same,relu,uniform,uniform,32,64,0.1,200,32,sigmoid,logcosh,4.06,200,2,1,<class 'keras.optimizers.Nadam'>,1.344871794871795,2,4
8,0.6929583681954278,0.6923076933265752,0.6933623171057215,0.47950428997027067,51,16,0.7959028831562974,relu,uniform,uniform,8,same,relu,uniform,uniform,16,32,0.4,200,8,sigmoid,binary_crossentropy,6.039999999999999,200,2,1,<class 'keras.optimizers.Adam'>,1.344871794871795,2,4
6,0.12019382117905168,0.30769230310733503,0.12014656454267902,0.371782649972532,51,64,0.7959028831562974,relu,uniform,uniform,16,same,relu,uniform,uniform,16,32,0.0,200,16,sigmoid,logcosh,6.039999999999999,200,4,2,<class 'keras.optimizers.Adam'>,1.344871794871795,2,2
6,0.12010652667436844,0.692307696892665,0.12014675010404095,0.38894184925251624,51,64,0.7959028831562974,relu,uniform,uniform,32,same,relu,uniform,uniform,32,32,0.1,200,16,sigmoid,logcosh,6.039999999999999,200,1,1,<class 'keras.optimizers.Adam'>,1.344871794871795,2,4
6,0.1334710490499806,0.6923076933265752,0.2168904386666755,0.6282173499706476,51,16,0.7959028831562974,relu,uniform,uniform,32,same,relu,uniform,uniform,32,32,0.30000000000000004,200,32,sigmoid,logcosh,8.02,200,1,4,<class 'keras.optimizers.Nadam'>,1.344871794871795,2,4
10,0.6935373417332641,0.307692309984794,0.6937166270014214,0.48236415608367883,51,32,0.7959028831562974,relu,uniform,uniform,16,same,relu,uniform,uniform,32,32,0.30000000000000004,200,32,sigmoid,binary_crossentropy,6.039999999999999,200,4,4,<class 'keras.optimizers.Nadam'>,1.344871794871795,2,8
6,0.11945784658703029,0.692307696892665,0.12018737844675353,0.5900857961666481,51,64,0.7959028831562974,relu,uniform,uniform,8,same,relu,uniform,uniform,16,64,0.30000000000000004,200,16,sigmoid,logcosh,4.06,200,4,4,<class 'keras.optimizers.Nadam'>,1.344871794871795,2,2
6,0.6918786565462748,0.6923076953643408,0.6934466151195668,0.429933269837564,51,32,0.7959028831562974,relu,uniform,uniform,8,same,relu,uniform,uniform,32,32,0.1,200,32,sigmoid,binary_crossentropy,6.039999999999999,200,4,4,<class 'keras.optimizers.Nadam'>,1.344871794871795,2,8
6,0.11997776612257346,0.692307696892665,0.12012104495464904,0.6282173494024431,51,64,0.7959028831562974,relu,uniform,uniform,32,same,relu,uniform,uniform,32,64,0.2,200,32,sigmoid,logcosh,4.06,200,2,4,<class 'keras.optimizers.Adam'>,1.344871794871795,2,8
9,0.6936663170146127,0.307692309984794,0.6934294091507409,0.37178265017140355,51,32,0.7959028831562974,relu,uniform,uniform,16,same,relu,uniform,uniform,32,32,0.0,200,32,sigmoid,binary_crossentropy,2.08,200,4,1,<class 'keras.optimizers.Nadam'>,1.344871794871795,2,2
6,0.11873722592225441,0.692307696892665,0.12013316593417903,0.628217350027468,51,64,0.7959028831562974,relu,uniform,uniform,16,same,relu,uniform,uniform,32,64,0.4,200,16,sigmoid,logcosh,0.1,200,2,4,<class 'keras.optimizers.Adam'>,1.344871794871795,2,2
6,0.1200609205242915,0.6923076953643408,0.12015138356968605,0.4756911349819318,51,32,0.7959028831562974,relu,uniform,uniform,8,same,relu,uniform,uniform,32,32,0.4,200,8,sigmoid,logcosh,2.08,200,4,1,<class 'keras.optimizers.Adam'>,1.344871794871795,2,8
9,0.6969643301433988,0.30769230310733503,0.6937480084207424,0.3717826500861729,51,64,0.7959028831562974,relu,uniform,uniform,8,same,relu,uniform,uniform,32,64,0.0,200,8,sigmoid,binary_crossentropy,8.02,200,1,4,<class 'keras.optimizers.Nadam'>,1.344871794871795,2,8
6,0.12057792076952437,0.30769230310733503,0.12020644385037363,0.4080076262539517,51,64,0.7959028831562974,relu,uniform,uniform,32,same,relu,uniform,uniform,16,32,0.30000000000000004,200,16,sigmoid,logcosh,8.02,200,4,1,<class 'keras.optimizers.Nadam'>,1.344871794871795,2,8
6,0.6946893446465843,0.307692309984794,0.6936657346920017,0.37178265017140355,51,32,0.7959028831562974,relu,uniform,uniform,16,same,relu,uniform,uniform,32,32,0.0,200,32,sigmoid,binary_crossentropy,8.02,200,4,4,<class 'keras.optimizers.Nadam'>,1.344871794871795,2,2
6,0.6956204817845271,0.307692309984794,0.6931560881031026,0.3717826500861729,51,32,0.7959028831562974,relu,uniform,uniform,8,same,relu,uniform,uniform,32,64,0.4,200,8,sigmoid,binary_crossentropy,0.1,200,2,1,<class 'keras.optimizers.Adam'>,1.344871794871795,2,8
6,0.12011205239428414,0.6923076933265752,0.12017717693991839,0.37273593901792407,51,16,0.7959028831562974,relu,uniform,uniform,16,same,relu,uniform,uniform,32,32,0.30000000000000004,200,16,sigmoid,logcosh,6.039999999999999,200,1,4,<class 'keras.optimizers.Adam'>,1.344871794871795,2,8
7,0.6935048189937559,0.307692309984794,0.693301290870281,0.375595805358614,51,32,0.7959028831562974,relu,uniform,uniform,16,same,relu,uniform,uniform,32,32,0.0,200,32,sigmoid,binary_crossentropy,4.06,200,1,1,<class 'keras.optimizers.Nadam'>,1.344871794871795,2,8
7,0.6923076653072977,0.6923076933265752,0.693501347354529,0.4080076263249773,51,16,0.7959028831562974,relu,uniform,uniform,8,same,relu,uniform,uniform,32,32,0.0,200,8,sigmoid,binary_crossentropy,4.06,200,4,4,<class 'keras.optimizers.Nadam'>,1.344871794871795,2,2
12,0.7848335387360337,0.5811965715171944,0.5329930585151178,0.7483317438935643,51,64,0.7959028831562974,relu,uniform,uniform,32,same,relu,uniform,uniform,32,64,0.30000000000000004,200,16,sigmoid,binary_crossentropy,2.08,200,1,1,<class 'keras.optimizers.Nadam'>,1.344871794871795,2,2
9,0.6928209259978726,0.6923076953643408,0.6936159312895529,0.48617731178227325,51,32,0.7959028831562974,relu,uniform,uniform,8,same,relu,uniform,uniform,16,64,0.2,200,16,sigmoid,binary_crossentropy,8.02,200,2,1,<class 'keras.optimizers.Nadam'>,1.344871794871795,2,4
6,0.6949779982240791,0.307692309984794,0.6931324644356938,0.3717826502850444,51,32,0.7959028831562974,relu,uniform,uniform,8,same,relu,uniform,uniform,16,64,0.2,200,32,sigmoid,binary_crossentropy,0.1,200,1,2,<class 'keras.optimizers.Adam'>,1.344871794871795,2,2
6,0.6872277412659082,0.692307696892665,0.6932689511741879,0.628217350027468,51,64,0.7959028831562974,relu,uniform,uniform,16,same,relu,uniform,uniform,16,32,0.1,200,32,sigmoid,binary_crossentropy,0.1,200,4,2,<class 'keras.optimizers.Adam'>,1.344871794871795,2,2
6,0.6939486815379217,0.3076923079470284,0.6932464790866987,0.3717826503702751,51,16,0.7959028831562974,relu,uniform,uniform,8,same,relu,uniform,uniform,16,32,0.0,200,32,sigmoid,binary_crossentropy,4.06,200,2,1,<class 'keras.optimizers.Adam'>,1.344871794871795,2,2
6,0.12035335657688287,0.30769230310733503,0.12011922577003618,0.3908484269029419,51,64,0.7959028831562974,relu,uniform,uniform,8,same,relu,uniform,uniform,32,32,0.4,200,32,sigmoid,logcosh,2.08,200,4,4,<class 'keras.optimizers.Adam'>,1.344871794871795,2,2
6,0.11944554230341545,0.6923076953643408,0.1201470176644048,0.6282173496013147,51,32,0.7959028831562974,relu,uniform,uniform,32,same,relu,uniform,uniform,32,64,0.1,200,16,sigmoid,logcosh,2.08,200,1,4,<class 'keras.optimizers.Adam'>,1.344871794871795,2,2
9,0.12006333024583311,0.692307696892665,0.12015162259198235,0.6110581506764582,51,64,0.7959028831562974,relu,uniform,uniform,32,same,relu,uniform,uniform,16,64,0.2,200,16,sigmoid,logcosh,4.06,200,4,2,<class 'keras.optimizers.Nadam'>,1.344871794871795,2,4
6,0.11938848225479452,0.6923076953643408,0.12014902906547398,0.6282173499990578,51,32,0.7959028831562974,relu,uniform,uniform,32,same,relu,uniform,uniform,16,32,0.0,200,8,sigmoid,logcosh,6.039999999999999,200,4,4,<class 'keras.optimizers.Adam'>,1.344871794871795,2,8
6,0.6960793646991762,0.30769230310733503,0.693412184715271,0.4137273592194338,51,64,0.7959028831562974,relu,uniform,uniform,8,same,relu,uniform,uniform,16,32,0.2,200,16,sigmoid,binary_crossentropy,8.02,200,1,2,<class 'keras.optimizers.Adam'>,1.344871794871795,2,2
