round_epochs,val_loss,val_acc,loss,acc,alphabet_size,batch_size,control_class_weight,conv_activation,conv_bias_initializer,conv_kernel_initializer,conv_output_space,conv_padding,dense_activation,dense_bias_initializer,dense_kernel_initializer,dense_units_layer_2,dense_units_layer_3,dropout,epochs,large_filter_length,last_activation,loss,lr,max_sentence_length,number_of_large_filters,number_of_small_filters,optimizer,pd_class_weight,pool_length,small_filter_length
6,0.12005406439813793,0.6239316213844169,0.12013344399211973,0.6120114400343627,51,64,0.7863568215892054,relu,uniform,uniform,16,same,relu,uniform,uniform,16,64,0.2,200,8,sigmoid,logcosh,6.039999999999999,200,4,1,<class 'keras.optimizers.Adam'>,1.3730366492146597,2,2
6,0.11968421592162205,0.6239316280071552,0.12033133217274745,0.44137273548442596,51,32,0.7863568215892054,relu,uniform,uniform,32,same,relu,uniform,uniform,16,32,0.4,200,32,sigmoid,logcosh,6.039999999999999,200,1,2,<class 'keras.optimizers.Nadam'>,1.3730366492146597,2,4
6,0.11981968034026969,0.6239316240589843,0.12024889823876754,0.6320305053567296,51,16,0.7863568215892054,relu,uniform,uniform,8,same,relu,uniform,uniform,32,64,0.1,200,8,sigmoid,logcosh,8.02,200,1,2,<class 'keras.optimizers.Adam'>,1.3730366492146597,2,8
7,0.6928403881879953,0.6239316213844169,0.6933157567300605,0.6358436606859911,51,64,0.7863568215892054,relu,uniform,uniform,16,same,relu,uniform,uniform,16,32,0.1,200,32,sigmoid,binary_crossentropy,4.06,200,4,1,<class 'keras.optimizers.Nadam'>,1.3730366492146597,2,8
6,0.11982902846275231,0.6239316280071552,0.12015862149267224,0.5033365106218991,51,32,0.7863568215892054,relu,uniform,uniform,16,same,relu,uniform,uniform,32,32,0.1,200,16,sigmoid,logcosh,8.02,200,2,4,<class 'keras.optimizers.Adam'>,1.3730366492146597,2,4
6,0.6933644790934701,0.3760683765778175,0.6937494793883725,0.502383222343583,51,16,0.7863568215892054,relu,uniform,uniform,8,same,relu,uniform,uniform,32,64,0.1,200,32,sigmoid,binary_crossentropy,6.039999999999999,200,2,4,<class 'keras.optimizers.Nadam'>,1.3730366492146597,2,8
7,0.6927408565822829,0.6239316240589843,0.6938169248565478,0.4718779790560556,51,16,0.7863568215892054,relu,uniform,uniform,16,same,relu,uniform,uniform,32,32,0.1,200,8,sigmoid,binary_crossentropy,6.039999999999999,200,2,1,<class 'keras.optimizers.Nadam'>,1.3730366492146597,2,4
6,0.6931671576622205,0.37606837734197957,0.6932007656197416,0.4518589130802536,51,32,0.7863568215892054,relu,uniform,uniform,8,same,relu,uniform,uniform,32,32,0.0,200,32,sigmoid,binary_crossentropy,4.06,200,2,2,<class 'keras.optimizers.Adam'>,1.3730366492146597,2,4
6,0.11932163048758467,0.6239316240589843,0.12013966285466467,0.6358436606859911,51,16,0.7863568215892054,relu,uniform,uniform,16,same,relu,uniform,uniform,16,32,0.2,200,16,sigmoid,logcosh,0.1,200,2,1,<class 'keras.optimizers.Nadam'>,1.3730366492146597,2,4
6,0.11961012308159445,0.6239316213844169,0.12011628784771984,0.6358436606859911,51,64,0.7863568215892054,relu,uniform,uniform,32,same,relu,uniform,uniform,32,64,0.1,200,16,sigmoid,logcosh,2.08,200,4,4,<class 'keras.optimizers.Adam'>,1.3730366492146597,2,8
6,0.6882849840017465,0.6239316213844169,0.6933735540870034,0.635843660799632,51,64,0.7863568215892054,relu,uniform,uniform,16,same,relu,uniform,uniform,32,32,0.30000000000000004,200,16,sigmoid,binary_crossentropy,0.1,200,4,4,<class 'keras.optimizers.Adam'>,1.3730366492146597,2,8
9,0.692554835580353,0.6239316213844169,0.6931356737679589,0.5061963781842286,51,64,0.7863568215892054,relu,uniform,uniform,8,same,relu,uniform,uniform,16,32,0.2,200,16,sigmoid,binary_crossentropy,8.02,200,2,1,<class 'keras.optimizers.Adam'>,1.3730366492146597,2,8
10,0.6934079762197968,0.3760683765778175,0.6935912080897503,0.41849380370772826,51,16,0.7863568215892054,relu,uniform,uniform,32,same,relu,uniform,uniform,16,32,0.1,200,32,sigmoid,binary_crossentropy,4.06,200,4,4,<class 'keras.optimizers.Nadam'>,1.3730366492146597,2,8
6,0.12052463867470749,0.3760683765778175,0.1201203396211816,0.3641563393779319,51,16,0.7863568215892054,relu,uniform,uniform,8,same,relu,uniform,uniform,16,32,0.1,200,8,sigmoid,logcosh,0.1,200,4,2,<class 'keras.optimizers.Adam'>,1.3730366492146597,2,2
6,0.6925950620928382,0.6239316280071552,0.6931559973040345,0.6387035272255526,51,32,0.7863568215892054,relu,uniform,uniform,16,same,relu,uniform,uniform,16,32,0.2,200,16,sigmoid,binary_crossentropy,0.1,200,1,4,<class 'keras.optimizers.Nadam'>,1.3730366492146597,2,4
6,0.11980160695110631,0.6239316240589843,0.12019220956230982,0.407054337634713,51,16,0.7863568215892054,relu,uniform,uniform,16,same,relu,uniform,uniform,16,64,0.2,200,32,sigmoid,logcosh,4.06,200,2,2,<class 'keras.optimizers.Nadam'>,1.3730366492146597,2,8
9,0.691960304720789,0.6239316213844169,0.6932432247526426,0.6358436606859911,51,64,0.7863568215892054,relu,uniform,uniform,16,same,relu,uniform,uniform,32,64,0.0,200,8,sigmoid,binary_crossentropy,4.06,200,4,2,<class 'keras.optimizers.Adam'>,1.3730366492146597,2,2
6,0.6919363538424174,0.6239316213844169,0.6932886491740057,0.614871305778438,51,64,0.7863568215892054,relu,uniform,uniform,16,same,relu,uniform,uniform,16,32,0.4,200,16,sigmoid,binary_crossentropy,2.08,200,4,4,<class 'keras.optimizers.Nadam'>,1.3730366492146597,2,2
6,0.12032936927345064,0.3760683786155831,0.12014620819327033,0.3641563393992396,51,64,0.7863568215892054,relu,uniform,uniform,16,same,relu,uniform,uniform,32,64,0.4,200,8,sigmoid,logcosh,2.08,200,2,1,<class 'keras.optimizers.Nadam'>,1.3730366492146597,2,4
6,0.12017212502467327,0.37606837734197957,0.12014282146047932,0.4690181128290066,51,32,0.7863568215892054,relu,uniform,uniform,32,same,relu,uniform,uniform,32,32,0.0,200,16,sigmoid,logcosh,2.08,200,2,2,<class 'keras.optimizers.Nadam'>,1.3730366492146597,2,2
6,0.11983445885344449,0.6239316240589843,0.12013215446636948,0.6358436606291706,51,16,0.7863568215892054,relu,uniform,uniform,8,same,relu,uniform,uniform,32,64,0.0,200,8,sigmoid,logcosh,2.08,200,4,2,<class 'keras.optimizers.Adam'>,1.3730366492146597,2,4
13,0.6936172781846462,0.3760683765778175,0.6931878119224134,0.36415633938503444,51,16,0.7863568215892054,relu,uniform,uniform,32,same,relu,uniform,uniform,16,64,0.0,200,32,sigmoid,binary_crossentropy,2.08,200,4,4,<class 'keras.optimizers.Adam'>,1.3730366492146597,2,2
6,0.12036228320028028,0.3760683765778175,0.12018248895529456,0.36415633945606,51,16,0.7863568215892054,relu,uniform,uniform,16,same,relu,uniform,uniform,32,32,0.2,200,8,sigmoid,logcosh,6.039999999999999,200,4,2,<class 'keras.optimizers.Adam'>,1.3730366492146597,2,4
6,0.6889431573386885,0.6239316280071552,0.6933291160685319,0.635843660799632,51,32,0.7863568215892054,relu,uniform,uniform,32,same,relu,uniform,uniform,32,32,0.0,200,16,sigmoid,binary_crossentropy,0.1,200,1,4,<class 'keras.optimizers.Nadam'>,1.3730366492146597,2,8
11,0.6936557415204171,0.3760683786155831,0.6931772845148245,0.378455672097047,51,64,0.7863568215892054,relu,uniform,uniform,16,same,relu,uniform,uniform,16,64,0.30000000000000004,200,32,sigmoid,binary_crossentropy,2.08,200,4,1,<class 'keras.optimizers.Nadam'>,1.3730366492146597,2,4
6,0.6935532383429699,0.37606837734197957,0.6934967791045473,0.36796949489896247,51,32,0.7863568215892054,relu,uniform,uniform,32,same,relu,uniform,uniform,16,32,0.1,200,32,sigmoid,binary_crossentropy,6.039999999999999,200,4,4,<class 'keras.optimizers.Nadam'>,1.3730366492146597,2,2
10,0.6936817760141487,0.3760683786155831,0.6932108055647495,0.40705433720855966,51,64,0.7863568215892054,relu,uniform,uniform,32,same,relu,uniform,uniform,16,32,0.2,200,16,sigmoid,binary_crossentropy,6.039999999999999,200,2,4,<class 'keras.optimizers.Adam'>,1.3730366492146597,2,2
13,0.6963079597196008,0.6324786326059928,0.693284885387857,0.5548141086891336,51,16,0.7863568215892054,relu,uniform,uniform,32,same,relu,uniform,uniform,16,32,0.4,200,16,sigmoid,binary_crossentropy,4.06,200,2,1,<class 'keras.optimizers.Nadam'>,1.3730366492146597,2,4
7,0.6937718457645841,0.3760683765778175,0.6934548534587863,0.48331744520009645,51,16,0.7863568215892054,relu,uniform,uniform,8,same,relu,uniform,uniform,16,64,0.1,200,8,sigmoid,binary_crossentropy,2.08,200,1,1,<class 'keras.optimizers.Nadam'>,1.3730366492146597,2,4
6,0.1201520139335567,0.3760683786155831,0.1201576545152696,0.3822688271990268,51,64,0.7863568215892054,relu,uniform,uniform,16,same,relu,uniform,uniform,16,64,0.4,200,32,sigmoid,logcosh,2.08,200,1,1,<class 'keras.optimizers.Nadam'>,1.3730366492146597,2,8
6,0.688720703125,0.6239316240589843,0.6933491607298728,0.6358436607428115,51,16,0.7863568215892054,relu,uniform,uniform,16,same,relu,uniform,uniform,32,32,0.1,200,16,sigmoid,binary_crossentropy,0.1,200,4,1,<class 'keras.optimizers.Nadam'>,1.3730366492146597,2,8
6,0.12013037585549885,0.3760683765778175,0.12017477882601627,0.6244041944993349,51,16,0.7863568215892054,relu,uniform,uniform,16,same,relu,uniform,uniform,32,32,0.30000000000000004,200,8,sigmoid,logcosh,2.08,200,1,4,<class 'keras.optimizers.Nadam'>,1.3730366492146597,2,8
6,0.11968986549948016,0.6239316280071552,0.1201343276281375,0.6358436601746071,51,32,0.7863568215892054,relu,uniform,uniform,8,same,relu,uniform,uniform,16,32,0.4,200,16,sigmoid,logcosh,2.08,200,2,1,<class 'keras.optimizers.Adam'>,1.3730366492146597,2,2
7,0.6917858133968126,0.6239316240589843,0.6936223747846169,0.6358436606859911,51,16,0.7863568215892054,relu,uniform,uniform,32,same,relu,uniform,uniform,16,32,0.1,200,8,sigmoid,binary_crossentropy,8.02,200,1,1,<class 'keras.optimizers.Adam'>,1.3730366492146597,2,2
6,0.12003029532666899,0.6239316280071552,0.12012730465688742,0.52430886524535,51,32,0.7863568215892054,relu,uniform,uniform,32,same,relu,uniform,uniform,32,64,0.1,200,8,sigmoid,logcosh,2.08,200,1,2,<class 'keras.optimizers.Adam'>,1.3730366492146597,2,8
6,0.12092569846118617,0.3760683786155831,0.12014533916010643,0.3641563393140089,51,64,0.7863568215892054,relu,uniform,uniform,16,same,relu,uniform,uniform,16,32,0.30000000000000004,200,8,sigmoid,logcosh,0.1,200,2,2,<class 'keras.optimizers.Nadam'>,1.3730366492146597,2,4
6,0.12069192496884583,0.3760683765778175,0.12013194072206777,0.36415633945606,51,16,0.7863568215892054,relu,uniform,uniform,32,same,relu,uniform,uniform,16,64,0.2,200,32,sigmoid,logcosh,0.1,200,2,4,<class 'keras.optimizers.Nadam'>,1.3730366492146597,2,2
6,0.6933882343463409,0.37606837734197957,0.693270894603802,0.40800762633918236,51,32,0.7863568215892054,relu,uniform,uniform,8,same,relu,uniform,uniform,16,64,0.4,200,16,sigmoid,binary_crossentropy,2.08,200,2,4,<class 'keras.optimizers.Nadam'>,1.3730366492146597,2,4
9,0.6940507634073241,0.3760683765778175,0.6933467757485956,0.3641563393779319,51,16,0.7863568215892054,relu,uniform,uniform,8,same,relu,uniform,uniform,16,64,0.1,200,8,sigmoid,binary_crossentropy,2.08,200,4,2,<class 'keras.optimizers.Nadam'>,1.3730366492146597,2,2
6,0.11953169419469996,0.6239316280071552,0.12013858445237317,0.6358436604018889,51,32,0.7863568215892054,relu,uniform,uniform,16,same,relu,uniform,uniform,16,64,0.4,200,32,sigmoid,logcosh,0.1,200,2,2,<class 'keras.optimizers.Adam'>,1.3730366492146597,2,4
8,0.690445910152207,0.6239316280071552,0.6936332717523674,0.3765490950574411,51,32,0.7863568215892054,relu,uniform,uniform,16,same,relu,uniform,uniform,16,64,0.4,200,8,sigmoid,binary_crossentropy,8.02,200,1,4,<class 'keras.optimizers.Nadam'>,1.3730366492146597,2,8
6,0.6924825096741701,0.6239316240589843,0.6931682744403472,0.6358436606575809,51,16,0.7863568215892054,relu,uniform,uniform,8,same,relu,uniform,uniform,16,32,0.1,200,8,sigmoid,binary_crossentropy,0.1,200,4,2,<class 'keras.optimizers.Nadam'>,1.3730366492146597,2,2
6,0.12015097588300705,0.37606837734197957,0.12019649054233635,0.5004766441675682,51,32,0.7863568215892054,relu,uniform,uniform,32,same,relu,uniform,uniform,32,32,0.0,200,16,sigmoid,logcosh,4.06,200,1,2,<class 'keras.optimizers.Nadam'>,1.3730366492146597,2,4
9,0.6931671571527791,0.3760683765778175,0.6933741645090232,0.4366062917205921,51,16,0.7863568215892054,relu,uniform,uniform,8,same,relu,uniform,uniform,32,32,0.30000000000000004,200,32,sigmoid,binary_crossentropy,6.039999999999999,200,4,4,<class 'keras.optimizers.Adam'>,1.3730366492146597,2,4
6,0.6934661742968437,0.3760683786155831,0.693246883875535,0.36415633951288046,51,64,0.7863568215892054,relu,uniform,uniform,8,same,relu,uniform,uniform,16,32,0.0,200,8,sigmoid,binary_crossentropy,2.08,200,4,1,<class 'keras.optimizers.Nadam'>,1.3730366492146597,2,4
6,0.11990032708033538,0.6239316280071552,0.12022398809970732,0.5643469971969539,51,32,0.7863568215892054,relu,uniform,uniform,32,same,relu,uniform,uniform,32,64,0.4,200,32,sigmoid,logcosh,6.039999999999999,200,1,2,<class 'keras.optimizers.Nadam'>,1.3730366492146597,2,8
6,0.6946084489170302,0.3760683765778175,0.6939377497217561,0.40991420401801826,51,16,0.7863568215892054,relu,uniform,uniform,32,same,relu,uniform,uniform,32,64,0.1,200,32,sigmoid,binary_crossentropy,6.039999999999999,200,1,4,<class 'keras.optimizers.Nadam'>,1.3730366492146597,2,4
6,0.11979058652352063,0.6239316280071552,0.12025588665608569,0.4089609152141131,51,32,0.7863568215892054,relu,uniform,uniform,8,same,relu,uniform,uniform,16,32,0.1,200,8,sigmoid,logcosh,8.02,200,1,1,<class 'keras.optimizers.Nadam'>,1.3730366492146597,2,4
6,0.6944192316797044,0.3760683786155831,0.6932220483417165,0.3755958055574855,51,64,0.7863568215892054,relu,uniform,uniform,16,same,relu,uniform,uniform,32,64,0.0,200,8,sigmoid,binary_crossentropy,6.039999999999999,200,4,2,<class 'keras.optimizers.Adam'>,1.3730366492146597,2,4
6,0.6935599558373802,0.37606837734197957,0.6931504652656977,0.36415633920036805,51,32,0.7863568215892054,relu,uniform,uniform,16,same,relu,uniform,uniform,16,64,0.30000000000000004,200,16,sigmoid,binary_crossentropy,0.1,200,2,1,<class 'keras.optimizers.Adam'>,1.3730366492146597,2,2
6,0.12037483341673501,0.3760683786155831,0.12012105721365962,0.3641563391151374,51,64,0.7863568215892054,relu,uniform,uniform,8,same,relu,uniform,uniform,16,32,0.1,200,8,sigmoid,logcosh,4.06,200,1,2,<class 'keras.optimizers.Adam'>,1.3730366492146597,2,8
7,0.6965875100885701,0.3760683765778175,0.6938428579908649,0.5376549096080209,51,16,0.7863568215892054,relu,uniform,uniform,32,same,relu,uniform,uniform,32,64,0.1,200,16,sigmoid,binary_crossentropy,6.039999999999999,200,4,2,<class 'keras.optimizers.Nadam'>,1.3730366492146597,2,4
8,0.11997665547662312,0.6239316240589843,0.12021759504699162,0.5948522402571995,51,16,0.7863568215892054,relu,uniform,uniform,16,same,relu,uniform,uniform,32,32,0.30000000000000004,200,16,sigmoid,logcosh,6.039999999999999,200,2,4,<class 'keras.optimizers.Adam'>,1.3730366492146597,2,8
6,0.11976371673691986,0.6239316213844169,0.12019660709527018,0.635843660288248,51,64,0.7863568215892054,relu,uniform,uniform,8,same,relu,uniform,uniform,16,64,0.0,200,32,sigmoid,logcosh,6.039999999999999,200,1,2,<class 'keras.optimizers.Nadam'>,1.3730366492146597,2,4
6,0.12092799190272632,0.37606837734197957,0.1201375871399565,0.36415633920036805,51,32,0.7863568215892054,relu,uniform,uniform,16,same,relu,uniform,uniform,16,64,0.30000000000000004,200,8,sigmoid,logcosh,0.1,200,2,1,<class 'keras.optimizers.Nadam'>,1.3730366492146597,2,4
8,0.6935880530593742,0.3760683786155831,0.6935718797069146,0.46425166831230186,51,64,0.7863568215892054,relu,uniform,uniform,32,same,relu,uniform,uniform,16,64,0.1,200,16,sigmoid,binary_crossentropy,8.02,200,4,2,<class 'keras.optimizers.Nadam'>,1.3730366492146597,2,8
