round_epochs,val_loss,val_acc,loss,acc,alphabet_size,batch_size,control_class_weight,conv_activation,conv_bias_initializer,conv_kernel_initializer,conv_output_space,conv_padding,dense_activation,dense_bias_initializer,dense_kernel_initializer,dense_units_layer_2,dense_units_layer_3,dropout,epochs,large_filter_length,last_activation,loss,lr,max_sentence_length,number_of_large_filters,number_of_small_filters,optimizer,pd_class_weight,pool_length,small_filter_length
8,0.12005776529892898,0.6153846158940568,0.12034361315864513,0.4089609151714978,51,16,0.7851796407185628,relu,uniform,uniform,16,same,relu,uniform,uniform,16,32,0.1,200,16,sigmoid,logcosh,8.02,200,1,1,<class 'keras.optimizers.Nadam'>,1.3766404199475066,8,8
6,0.1199972433412177,0.6153846128374083,0.12015350204177762,0.637750238890416,51,64,0.7851796407185628,relu,uniform,uniform,8,same,relu,uniform,uniform,16,64,0.2,200,16,sigmoid,logcosh,4.06,200,2,1,<class 'keras.optimizers.Nadam'>,1.3766404199475066,4,8
6,0.12011725092545533,0.38461538588898814,0.12014352972730213,0.563393708165767,51,32,0.7851796407185628,relu,uniform,uniform,8,same,relu,uniform,uniform,32,32,0.0,200,16,sigmoid,logcosh,2.08,200,4,1,<class 'keras.optimizers.Adam'>,1.3766404199475066,2,8
