round_epochs,val_loss,val_acc,loss,acc,alphabet_size,batch_size,control_class_weight,conv_activation,conv_bias_initializer,conv_kernel_initializer,conv_output_space,dense_activation,dense_bias_initializer,dense_kernel_initializer,dense_units_layer_2,dense_units_layer_3,dropout,epochs,large_filter_length,last_activation,loss,lr,max_sentence_length,number_of_large_filters,number_of_small_filters,optimizer,pd_class_weight,pool_length,small_filter_length
24,0.5513937941983215,0.7435897446086264,0.5378130574358203,0.7454718780358481,49,16,0.7911010558069381,relu,uniform,uniform,8,relu,uniform,uniform,32,32,0.4,200,40,sigmoid,binary_crossentropy,0.1,14000,1,1,<class 'keras.optimizers.Adam'>,1.3588082901554404,4,10
11,0.8555580285879282,0.6495726541576222,0.31574300420181994,0.8789323163782562,49,32,0.7911010558069381,relu,uniform,uniform,16,relu,uniform,uniform,16,32,0.4,200,40,sigmoid,binary_crossentropy,8.02,14000,1,1,<class 'keras.optimizers.Adam'>,1.3588082901554404,2,20
6,5.510459961035313,0.6581196586290995,8.059047852617088,0.6320305054703704,49,16,0.7911010558069381,relu,uniform,uniform,32,relu,uniform,uniform,32,64,0.30000000000000004,200,40,sigmoid,binary_crossentropy,8.02,14000,4,1,<class 'keras.optimizers.Nadam'>,1.3588082901554404,2,5
18,0.5613294783820454,0.7350427380993835,0.5549583697000836,0.7464251664846255,49,32,0.7911010558069381,relu,uniform,uniform,16,relu,uniform,uniform,16,32,0.4,200,160,sigmoid,binary_crossentropy,0.1,14000,4,4,<class 'keras.optimizers.Nadam'>,1.3588082901554404,4,10
11,0.6841225868616349,0.7179487225336906,0.4431512888496097,0.7874165866009046,49,32,0.7911010558069381,relu,uniform,uniform,16,relu,uniform,uniform,16,32,0.30000000000000004,200,20,sigmoid,binary_crossentropy,2.08,14000,1,2,<class 'keras.optimizers.Nadam'>,1.3588082901554404,4,10
9,0.6933885772004087,0.3418803431539454,0.6936906423309624,0.446139180043746,49,32,0.7911010558069381,relu,uniform,uniform,8,relu,uniform,uniform,16,32,0.0,200,20,sigmoid,binary_crossentropy,6.039999999999999,14000,2,4,<class 'keras.optimizers.Nadam'>,1.3588082901554404,4,5
8,0.12164511321446835,0.34188034200770223,0.11984851439301461,0.6015252621686379,49,16,0.7911010558069381,relu,uniform,uniform,16,relu,uniform,uniform,16,64,0.30000000000000004,200,40,sigmoid,logcosh,8.02,14000,1,1,<class 'keras.optimizers.Nadam'>,1.3588082901554404,2,5
8,0.13296294212341309,0.6837606840154045,0.034611418626094105,0.9122974261769349,49,16,0.7911010558069381,relu,uniform,uniform,8,relu,uniform,uniform,16,64,0.1,200,40,sigmoid,logcosh,4.06,14000,1,1,<class 'keras.optimizers.Adam'>,1.3588082901554404,2,20
18,0.6676512681520902,0.6923076933265752,0.35219651756113884,0.8512869400564436,49,16,0.7911010558069381,relu,uniform,uniform,16,relu,uniform,uniform,32,32,0.2,200,80,sigmoid,binary_crossentropy,0.1,14000,1,4,<class 'keras.optimizers.Nadam'>,1.3588082901554404,2,5
6,10.491997392768534,0.3418803431539454,7.971191794447267,0.367969495097834,49,32,0.7911010558069381,relu,uniform,uniform,32,relu,uniform,uniform,16,64,0.0,200,40,sigmoid,binary_crossentropy,2.08,14000,4,2,<class 'keras.optimizers.Nadam'>,1.3588082901554404,2,20
8,0.1483011692762375,0.6581196621951894,0.21689045135183943,0.632030504902166,49,32,0.7911010558069381,relu,uniform,uniform,32,relu,uniform,uniform,32,32,0.0,200,40,sigmoid,logcosh,8.02,14000,2,1,<class 'keras.optimizers.Nadam'>,1.3588082901554404,4,10
7,0.11815550331121837,0.6581196621951894,0.13047227453799107,0.6568160158208259,49,32,0.7911010558069381,relu,uniform,uniform,8,relu,uniform,uniform,32,32,0.1,200,20,sigmoid,logcosh,8.02,14000,1,2,<class 'keras.optimizers.Nadam'>,1.3588082901554404,2,10
16,0.6936815167084719,0.3418803431539454,0.6934158155984033,0.48331744493019935,49,32,0.7911010558069381,relu,uniform,uniform,16,relu,uniform,uniform,32,64,0.30000000000000004,200,80,sigmoid,binary_crossentropy,4.06,14000,2,4,<class 'keras.optimizers.Nadam'>,1.3588082901554404,4,20
6,0.1483011692762375,0.6581196621951894,0.21689045135183943,0.632030504902166,49,32,0.7911010558069381,relu,uniform,uniform,32,relu,uniform,uniform,32,64,0.1,200,160,sigmoid,logcosh,4.06,14000,4,4,<class 'keras.optimizers.Nadam'>,1.3588082901554404,4,20
6,0.12040376000934178,0.34188034200770223,0.12017254090314824,0.45471877980448155,49,16,0.7911010558069381,relu,uniform,uniform,8,relu,uniform,uniform,32,64,0.30000000000000004,200,40,sigmoid,logcosh,6.039999999999999,14000,2,1,<class 'keras.optimizers.Adam'>,1.3588082901554404,4,10
7,0.646287719408671,0.7094017099111508,0.5658767778493883,0.751191611114971,49,16,0.7911010558069381,relu,uniform,uniform,32,relu,uniform,uniform,32,64,0.2,200,40,sigmoid,binary_crossentropy,2.08,14000,2,1,<class 'keras.optimizers.Nadam'>,1.3588082901554404,2,5
10,0.5814681868267875,0.7350427352974558,0.5186758759592236,0.7664442328865808,49,32,0.7911010558069381,relu,uniform,uniform,32,relu,uniform,uniform,32,64,0.0,200,40,sigmoid,binary_crossentropy,0.1,14000,2,1,<class 'keras.optimizers.Adam'>,1.3588082901554404,2,10
7,1.2831069006879106,0.6153846158940568,0.16711036933522078,0.9380362249761678,49,16,0.7911010558069381,relu,uniform,uniform,32,relu,uniform,uniform,16,32,0.0,200,20,sigmoid,binary_crossentropy,2.08,14000,1,1,<class 'keras.optimizers.Nadam'>,1.3588082901554404,4,10
6,0.6305851630675487,0.7094017139866821,0.4359039417099566,0.807435652377835,49,32,0.7911010558069381,relu,uniform,uniform,8,relu,uniform,uniform,16,32,0.1,200,160,sigmoid,binary_crossentropy,6.039999999999999,14000,1,1,<class 'keras.optimizers.Adam'>,1.3588082901554404,2,20
9,0.6447881832082047,0.6666666671761081,0.5151719904945963,0.7797902764537655,49,16,0.7911010558069381,relu,uniform,uniform,8,relu,uniform,uniform,32,64,0.1,200,40,sigmoid,binary_crossentropy,8.02,14000,2,1,<class 'keras.optimizers.Adam'>,1.3588082901554404,4,20
16,0.5622186339818515,0.6666666679402702,0.513426586204307,0.7721639658520628,49,32,0.7911010558069381,relu,uniform,uniform,32,relu,uniform,uniform,16,64,0.1,200,40,sigmoid,binary_crossentropy,0.1,14000,1,4,<class 'keras.optimizers.Nadam'>,1.3588082901554404,4,5
6,0.11975464797936954,0.6581196621951894,0.12019912047654362,0.44423260242173057,49,32,0.7911010558069381,relu,uniform,uniform,16,relu,uniform,uniform,32,32,0.4,200,160,sigmoid,logcosh,4.06,14000,2,4,<class 'keras.optimizers.Nadam'>,1.3588082901554404,4,20
6,0.11981179877224131,0.6581196586290995,0.12016607455916355,0.4613918018295608,49,16,0.7911010558069381,relu,uniform,uniform,16,relu,uniform,uniform,16,64,0.30000000000000004,200,160,sigmoid,logcosh,2.08,14000,2,4,<class 'keras.optimizers.Nadam'>,1.3588082901554404,4,20
8,0.12005628479851617,0.6581196586290995,0.1202778789091383,0.6320305052714988,49,16,0.7911010558069381,relu,uniform,uniform,16,relu,uniform,uniform,16,32,0.0,200,20,sigmoid,logcosh,8.02,14000,1,2,<class 'keras.optimizers.Nadam'>,1.3588082901554404,2,10
6,0.2854797519170321,0.34188034200770223,0.21689045089727588,0.3679694949841931,49,16,0.7911010558069381,relu,uniform,uniform,16,relu,uniform,uniform,16,64,0.1,200,40,sigmoid,logcosh,2.08,14000,4,2,<class 'keras.optimizers.Nadam'>,1.3588082901554404,4,10
6,0.11996318540002546,0.6581196586290995,0.12021853431732571,0.6320305052714988,49,16,0.7911010558069381,relu,uniform,uniform,8,relu,uniform,uniform,16,64,0.0,200,160,sigmoid,logcosh,6.039999999999999,14000,2,4,<class 'keras.optimizers.Adam'>,1.3588082901554404,4,5
6,0.12000046033635099,0.6581196586290995,0.12013879360132154,0.5958055292457711,49,16,0.7911010558069381,relu,uniform,uniform,8,relu,uniform,uniform,32,32,0.30000000000000004,200,20,sigmoid,logcosh,4.06,14000,2,1,<class 'keras.optimizers.Adam'>,1.3588082901554404,2,20
6,0.6957227939214462,0.3418803431539454,0.6935662632333993,0.5319351761879753,49,32,0.7911010558069381,relu,uniform,uniform,8,relu,uniform,uniform,16,32,0.1,200,20,sigmoid,binary_crossentropy,6.039999999999999,14000,2,4,<class 'keras.optimizers.Nadam'>,1.3588082901554404,2,20
7,0.2854797570114462,0.3418803431539454,0.21535066227553798,0.37273593933043647,49,32,0.7911010558069381,relu,uniform,uniform,32,relu,uniform,uniform,32,32,0.30000000000000004,200,20,sigmoid,logcosh,6.039999999999999,14000,1,2,<class 'keras.optimizers.Nadam'>,1.3588082901554404,4,10
7,0.693234370304988,0.34188034200770223,0.6940448002319772,0.46139180174433014,49,16,0.7911010558069381,relu,uniform,uniform,8,relu,uniform,uniform,16,32,0.2,200,40,sigmoid,binary_crossentropy,6.039999999999999,14000,4,2,<class 'keras.optimizers.Nadam'>,1.3588082901554404,4,5
6,0.11926607558360466,0.6581196621951894,0.1201308110748392,0.632030505811293,49,32,0.7911010558069381,relu,uniform,uniform,16,relu,uniform,uniform,16,32,0.1,200,160,sigmoid,logcosh,0.1,14000,4,4,<class 'keras.optimizers.Adam'>,1.3588082901554404,2,5
9,0.12141028390480922,0.658119659138541,0.033832840663198915,0.9113441372735939,49,16,0.7911010558069381,relu,uniform,uniform,32,relu,uniform,uniform,32,64,0.2,200,80,sigmoid,logcosh,2.08,14000,1,1,<class 'keras.optimizers.Nadam'>,1.3588082901554404,4,5
19,0.08818184004889594,0.7008547013641423,0.08365813649842806,0.7702573881022015,49,16,0.7911010558069381,relu,uniform,uniform,16,relu,uniform,uniform,32,64,0.4,200,20,sigmoid,logcosh,0.1,14000,1,4,<class 'keras.optimizers.Nadam'>,1.3588082901554404,4,5
6,0.6938580371375777,0.3418803431539454,0.6931741627996825,0.4337464249111336,49,32,0.7911010558069381,relu,uniform,uniform,8,relu,uniform,uniform,16,64,0.1,200,20,sigmoid,binary_crossentropy,8.02,14000,1,4,<class 'keras.optimizers.Adam'>,1.3588082901554404,4,20
7,0.0850068866315051,0.7008547013641423,0.08110592897459368,0.7578646330406146,49,16,0.7911010558069381,relu,uniform,uniform,16,relu,uniform,uniform,32,32,0.1,200,40,sigmoid,logcosh,2.08,14000,2,1,<class 'keras.optimizers.Adam'>,1.3588082901554404,4,5
9,0.08537219063593791,0.7179487184581593,0.06307708685090135,0.8217349857006673,49,16,0.7911010558069381,relu,uniform,uniform,32,relu,uniform,uniform,32,64,0.1,200,20,sigmoid,logcosh,0.1,14000,2,4,<class 'keras.optimizers.Nadam'>,1.3588082901554404,2,10
11,0.5630693124909686,0.7435897476652749,0.5394634826053768,0.7530981889216529,49,32,0.7911010558069381,relu,uniform,uniform,8,relu,uniform,uniform,16,32,0.2,200,160,sigmoid,binary_crossentropy,0.1,14000,4,1,<class 'keras.optimizers.Nadam'>,1.3588082901554404,2,10
7,1.0872342240097177,0.7008547018735837,0.2114656856079347,0.9199237368922784,49,16,0.7911010558069381,relu,uniform,uniform,32,relu,uniform,uniform,32,32,0.2,200,80,sigmoid,binary_crossentropy,2.08,14000,1,1,<class 'keras.optimizers.Adam'>,1.3588082901554404,2,20
6,0.12047255714224954,0.34188034200770223,0.12026736627486459,0.5243088656146828,49,16,0.7911010558069381,relu,uniform,uniform,16,relu,uniform,uniform,16,32,0.1,200,160,sigmoid,logcosh,8.02,14000,1,4,<class 'keras.optimizers.Nadam'>,1.3588082901554404,2,5
14,0.7366909430577204,0.7008547018735837,0.42290570062040944,0.7902764539359522,49,16,0.7911010558069381,relu,uniform,uniform,16,relu,uniform,uniform,32,32,0.0,200,160,sigmoid,binary_crossentropy,2.08,14000,1,4,<class 'keras.optimizers.Adam'>,1.3588082901554404,4,20
13,0.5482331662096529,0.7179487230431321,0.4880089678005222,0.7893231656008157,49,32,0.7911010558069381,relu,uniform,uniform,32,relu,uniform,uniform,32,32,0.30000000000000004,200,40,sigmoid,binary_crossentropy,4.06,14000,2,2,<class 'keras.optimizers.Adam'>,1.3588082901554404,4,5
