round_epochs,val_loss,val_acc,loss,acc,alphabet_size,batch_size,control_class_weight,conv_activation,conv_bias_initializer,conv_kernel_initializer,conv_output_space,dense_activation,dense_bias_initializer,dense_kernel_initializer,dense_units_layer_2,dense_units_layer_3,dropout,epochs,large_filter_length,last_activation,loss,lr,max_sentence_length,number_of_large_filters,number_of_small_filters,optimizer,pd_class_weight,pool_length,small_filter_length
7,0.08090591787273048,0.7692307692307693,0.09783370683841527,0.7397521450135456,49,16,0.7899096385542169,relu,uniform,uniform,8,relu,uniform,uniform,16,32,0.4,200,160,sigmoid,logcosh,6.039999999999999,14000,2,1,<class 'keras.optimizers.Adam'>,1.3623376623376624,4,5
8,0.08495089755608486,0.769230770249652,0.0833117785811197,0.754051477711353,49,16,0.7899096385542169,relu,uniform,uniform,16,relu,uniform,uniform,16,64,0.4,200,160,sigmoid,logcosh,4.06,14000,1,2,<class 'keras.optimizers.Adam'>,1.3623376623376624,4,10
6,0.15200869649903387,0.6495726495726496,0.21689046497454065,0.6329837941038142,49,16,0.7899096385542169,relu,uniform,uniform,32,relu,uniform,uniform,32,64,0.1,200,20,sigmoid,logcosh,6.039999999999999,14000,4,4,<class 'keras.optimizers.Nadam'>,1.3623376623376624,2,10
9,0.5957040598249843,0.7350427386088249,0.5116626175388594,0.7225929462307402,49,32,0.7899096385542169,relu,uniform,uniform,16,relu,uniform,uniform,32,32,0.1,200,20,sigmoid,binary_crossentropy,8.02,14000,2,1,<class 'keras.optimizers.Adam'>,1.3623376623376624,2,10
14,0.7220918143916334,0.7692307717779763,0.44141047411696815,0.8274547185525085,49,32,0.7899096385542169,relu,uniform,uniform,8,relu,uniform,uniform,16,64,0.0,200,80,sigmoid,binary_crossentropy,8.02,14000,2,2,<class 'keras.optimizers.Adam'>,1.3623376623376624,4,20
6,0.1203526616988019,0.35042735271983677,0.12013071079385974,0.5081029551386038,49,32,0.7899096385542169,relu,uniform,uniform,8,relu,uniform,uniform,16,32,0.2,200,40,sigmoid,logcosh,2.08,14000,2,4,<class 'keras.optimizers.Adam'>,1.3623376623376624,2,20
10,0.5287044068686982,0.7606837632309678,0.5038541745184943,0.7683508109773649,49,32,0.7899096385542169,relu,uniform,uniform,32,relu,uniform,uniform,32,64,0.1,200,160,sigmoid,binary_crossentropy,0.1,14000,1,2,<class 'keras.optimizers.Nadam'>,1.3623376623376624,4,20
14,0.8674457786429641,0.7008547018735837,0.4217391035832941,0.8484270734600616,49,16,0.7899096385542169,relu,uniform,uniform,32,relu,uniform,uniform,32,64,0.4,200,80,sigmoid,binary_crossentropy,4.06,14000,1,2,<class 'keras.optimizers.Adam'>,1.3623376623376624,2,20
6,0.6937146354944278,0.3504273504273504,0.6931781098885804,0.36796949477111646,49,16,0.7899096385542169,relu,uniform,uniform,8,relu,uniform,uniform,16,64,0.4,200,20,sigmoid,binary_crossentropy,0.1,14000,2,4,<class 'keras.optimizers.Adam'>,1.3623376623376624,2,5
16,0.5190171387969938,0.7863247868342277,0.5114082142327148,0.7559580553191633,49,16,0.7899096385542169,relu,uniform,uniform,8,relu,uniform,uniform,16,64,0.1,200,160,sigmoid,binary_crossentropy,0.1,14000,1,4,<class 'keras.optimizers.Nadam'>,1.3623376623376624,4,10
10,0.621585026765481,0.7179487189676008,0.5240432809260598,0.8055290753666393,49,16,0.7899096385542169,relu,uniform,uniform,16,relu,uniform,uniform,32,32,0.4,200,160,sigmoid,binary_crossentropy,6.039999999999999,14000,1,1,<class 'keras.optimizers.Adam'>,1.3623376623376624,2,10
