round_epochs,val_loss,val_acc,loss,acc,alphabet_size,batch_size,control_class_weight,conv_activation,conv_bias_initializer,conv_kernel_initializer,conv_output_space,dense_activation,dense_bias_initializer,dense_kernel_initializer,dense_units_layer_2,dense_units_layer_3,dropout,epochs,large_filter_length,last_activation,loss,lr,max_sentence_length,number_of_large_filters,number_of_small_filters,optimizer,pd_class_weight,pool_length,small_filter_length
8,0.6945264966059954,0.3589743612668453,0.7076690041871158,0.3641563391151374,49,32,0.7887218045112782,relu,uniform,uniform,32,relu,uniform,uniform,16,64,0.30000000000000004,200,160,sigmoid,binary_crossentropy,2.08,14000,4,2,<class 'keras.optimizers.Nadam'>,1.3658854166666667,2,5
9,0.1076566509456716,0.7179487184581593,0.08915197604235521,0.752144900018312,49,16,0.7887218045112782,relu,uniform,uniform,8,relu,uniform,uniform,16,64,0.1,200,20,sigmoid,logcosh,8.02,14000,1,1,<class 'keras.optimizers.Nadam'>,1.3658854166666667,4,5
9,0.10951270914485312,0.7179487189676008,0.06834684026110616,0.8017159200941982,49,16,0.7887218045112782,relu,uniform,uniform,32,relu,uniform,uniform,16,64,0.1,200,160,sigmoid,logcosh,4.06,14000,1,2,<class 'keras.optimizers.Adam'>,1.3658854166666667,4,5
6,0.11981357716851765,0.6410256440822895,0.12011007092417253,0.63393708299295,49,32,0.7887218045112782,relu,uniform,uniform,8,relu,uniform,uniform,32,64,0.2,200,40,sigmoid,logcosh,0.1,14000,4,4,<class 'keras.optimizers.Nadam'>,1.3658854166666667,4,20
7,0.6921319976831094,0.6410256440822895,0.6937996428051486,0.4775977116522048,49,32,0.7887218045112782,relu,uniform,uniform,8,relu,uniform,uniform,32,64,0.4,200,160,sigmoid,binary_crossentropy,8.02,14000,1,2,<class 'keras.optimizers.Nadam'>,1.3658854166666667,4,5
7,0.6911948919296265,0.6410256420445238,0.6936206544888827,0.4680648236983838,49,16,0.7887218045112782,relu,uniform,uniform,8,relu,uniform,uniform,32,32,0.30000000000000004,200,80,sigmoid,binary_crossentropy,6.039999999999999,14000,1,4,<class 'keras.optimizers.Adam'>,1.3658854166666667,2,20
8,0.6942954842860882,0.35897435922907966,0.6937111164412121,0.5624404194755027,49,16,0.7887218045112782,relu,uniform,uniform,16,relu,uniform,uniform,16,64,0.2,200,160,sigmoid,binary_crossentropy,8.02,14000,1,4,<class 'keras.optimizers.Adam'>,1.3658854166666667,2,5
12,0.6928288712460771,0.6410256420445238,0.6939035744980702,0.4204003815428204,49,16,0.7887218045112782,relu,uniform,uniform,8,relu,uniform,uniform,16,32,0.30000000000000004,200,80,sigmoid,binary_crossentropy,8.02,14000,4,1,<class 'keras.optimizers.Nadam'>,1.3658854166666667,4,10
6,0.15571625849120638,0.6410256420445238,0.21689046338356827,0.6339370829645399,49,16,0.7887218045112782,relu,uniform,uniform,32,relu,uniform,uniform,32,32,0.0,200,80,sigmoid,logcosh,6.039999999999999,14000,1,4,<class 'keras.optimizers.Nadam'>,1.3658854166666667,4,5
6,0.11964230806144893,0.6410256420445238,0.12013354313669032,0.6339370831634115,49,16,0.7887218045112782,relu,uniform,uniform,8,relu,uniform,uniform,16,64,0.0,200,20,sigmoid,logcosh,2.08,14000,4,4,<class 'keras.optimizers.Adam'>,1.3658854166666667,2,5
13,0.6033310757742988,0.6923076948548994,0.5877349427248661,0.7168732122424901,49,32,0.7887218045112782,relu,uniform,uniform,8,relu,uniform,uniform,32,32,0.4,200,160,sigmoid,binary_crossentropy,0.1,14000,1,2,<class 'keras.optimizers.Adam'>,1.3658854166666667,4,10
18,0.09861185751919053,0.6410256435728481,0.08573914274530711,0.7225929463443811,49,32,0.7887218045112782,relu,uniform,uniform,16,relu,uniform,uniform,32,64,0.0,200,40,sigmoid,logcosh,4.06,14000,4,1,<class 'keras.optimizers.Adam'>,1.3658854166666667,4,20
12,0.6929857027836335,0.6410256440822895,0.6933088307726144,0.46234509047720973,49,32,0.7887218045112782,relu,uniform,uniform,8,relu,uniform,uniform,16,64,0.30000000000000004,200,160,sigmoid,binary_crossentropy,2.08,14000,4,4,<class 'keras.optimizers.Nadam'>,1.3658854166666667,4,20
9,0.693492727401929,0.3589743612668453,0.6933625693884887,0.36606291720592143,49,32,0.7887218045112782,relu,uniform,uniform,8,relu,uniform,uniform,32,64,0.30000000000000004,200,160,sigmoid,binary_crossentropy,8.02,14000,2,4,<class 'keras.optimizers.Adam'>,1.3658854166666667,4,20
15,0.09294733373273133,0.7435897461369506,0.09045029957170596,0.7559580554612144,49,32,0.7887218045112782,relu,uniform,uniform,32,relu,uniform,uniform,16,32,0.1,200,40,sigmoid,logcosh,0.1,14000,1,4,<class 'keras.optimizers.Adam'>,1.3658854166666667,4,10
12,0.6538914508289762,0.7008547018735837,0.5238172647155275,0.763584366176558,49,16,0.7887218045112782,relu,uniform,uniform,32,relu,uniform,uniform,16,32,0.1,200,20,sigmoid,binary_crossentropy,2.08,14000,2,4,<class 'keras.optimizers.Nadam'>,1.3658854166666667,4,5
7,0.11994334131988704,0.649572652629298,0.12015114176318803,0.6367969500438956,49,32,0.7887218045112782,relu,uniform,uniform,16,relu,uniform,uniform,16,32,0.1,200,40,sigmoid,logcosh,6.039999999999999,14000,4,4,<class 'keras.optimizers.Adam'>,1.3658854166666667,2,10
6,0.7199254275387169,0.7008547018735837,0.6633797695343556,0.6758817922966723,49,16,0.7887218045112782,relu,uniform,uniform,8,relu,uniform,uniform,16,64,0.1,200,160,sigmoid,binary_crossentropy,6.039999999999999,14000,4,2,<class 'keras.optimizers.Adam'>,1.3658854166666667,4,5
