round_epochs,val_loss,val_acc,loss,acc,alphabet_size,batch_size,control_class_weight,conv_activation,conv_bias_initializer,conv_kernel_initializer,conv_output_space,dense_activation,dense_bias_initializer,dense_kernel_initializer,dense_units_layer_2,dense_units_layer_3,dropout,epochs,large_filter_length,last_activation,loss,lr,max_sentence_length,number_of_large_filters,number_of_small_filters,optimizer,pd_class_weight,pool_length,small_filter_length
10,0.5590218152755346,0.6410256451011723,0.6014592289583699,0.7121067680098876,51,32,0.7770370370370371,relu,uniform,uniform,16,relu,uniform,uniform,16,64,0.30000000000000004,200,40,sigmoid,binary_crossentropy,0.1,14000,1,1,<class 'keras.optimizers.Adam'>,1.4024064171122994,2,20
6,0.24098939595059451,0.4444444454633273,0.21618509943196612,0.3593898951666371,51,16,0.7770370370370371,relu,uniform,uniform,32,relu,uniform,uniform,32,32,0.2,200,80,sigmoid,logcosh,6.039999999999999,14000,4,4,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,20
6,7.163597938341972,0.5555555606499697,8.059047789432755,0.6434699716854368,51,32,0.7770370370370371,relu,uniform,uniform,32,relu,uniform,uniform,32,64,0.2,200,40,sigmoid,binary_crossentropy,8.02,14000,1,4,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,20
6,0.12015014237318283,0.4444444454633273,0.12016641181690337,0.4204003814007693,51,16,0.7770370370370371,relu,uniform,uniform,64,relu,uniform,uniform,32,32,0.1,200,80,sigmoid,logcosh,2.08,14000,2,1,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,5
11,0.5640369796345377,0.675213675468396,0.48726050895208173,0.7769304099710245,51,16,0.7770370370370371,relu,uniform,uniform,32,relu,uniform,uniform,32,64,0.1,200,20,sigmoid,binary_crossentropy,0.1,14000,1,2,<class 'keras.optimizers.Adam'>,1.4024064171122994,2,10
6,0.692711500530569,0.5555555558102763,0.6937716898745417,0.511916110808788,51,16,0.7770370370370371,relu,uniform,uniform,8,relu,uniform,uniform,16,64,0.30000000000000004,200,80,sigmoid,binary_crossentropy,8.02,14000,1,2,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,20
6,7.163597938341972,0.5555555606499697,8.05904778625081,0.643469971571796,51,32,0.7770370370370371,relu,uniform,uniform,32,relu,uniform,uniform,32,32,0.0,200,20,sigmoid,binary_crossentropy,6.039999999999999,14000,4,1,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,20
6,0.19279151543592796,0.5555555606499697,0.2179721216995223,0.6348903719531115,51,32,0.7770370370370371,relu,uniform,uniform,64,relu,uniform,uniform,32,64,0.30000000000000004,200,40,sigmoid,logcosh,6.039999999999999,14000,2,2,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,10
10,0.693384318270235,0.4444444454633273,0.6937119101659813,0.5376549095227903,51,16,0.7770370370370371,relu,uniform,uniform,64,relu,uniform,uniform,32,64,0.4,200,40,sigmoid,binary_crossentropy,4.06,14000,1,2,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,20
6,0.24098939595059451,0.4444444454633273,0.21689045412183602,0.35653002868389605,51,16,0.7770370370370371,relu,uniform,uniform,8,relu,uniform,uniform,32,32,0.0,200,80,sigmoid,logcosh,4.06,14000,2,1,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,5
6,7.163597938341972,0.5555555606499697,8.07292701768466,0.6415633943901389,51,32,0.7770370370370371,relu,uniform,uniform,64,relu,uniform,uniform,32,32,0.30000000000000004,200,160,sigmoid,binary_crossentropy,8.02,14000,1,4,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,20
