round_epochs,val_loss,val_acc,loss,acc,alphabet_size,batch_size,control_class_weight,conv_activation,conv_bias_initializer,conv_kernel_initializer,conv_output_space,dense_activation,dense_bias_initializer,dense_kernel_initializer,dense_units_layer_2,dense_units_layer_3,dropout,epochs,large_filter_length,last_activation,loss,lr,max_sentence_length,number_of_large_filters,number_of_small_filters,optimizer,pd_class_weight,pool_length,small_filter_length
11,0.08950379248867688,0.7692307697402107,0.09589426433960521,0.7102001908282306,51,16,0.7863568215892054,relu,uniform,uniform,32,relu,uniform,uniform,32,32,0.2,200,8,sigmoid,logcosh,0.1,14000,4,2,<class 'keras.optimizers.Adam'>,1.3730366492146597,2,4
8,0.927396317323049,0.6666666687044323,0.35005473556464006,0.8436606285456139,51,32,0.7863568215892054,relu,uniform,uniform,32,relu,uniform,uniform,32,64,0.1,200,8,sigmoid,binary_crossentropy,6.039999999999999,14000,1,2,<class 'keras.optimizers.Adam'>,1.3730366492146597,2,4
9,0.5501676048987951,0.7777777782872192,0.5819883219279824,0.7206863681399561,51,16,0.7863568215892054,relu,uniform,uniform,32,relu,uniform,uniform,16,64,0.0,200,16,sigmoid,binary_crossentropy,0.1,14000,4,1,<class 'keras.optimizers.Adam'>,1.3730366492146597,2,2
6,0.6931046339181753,0.6239316249505068,0.6933338776784811,0.4690181125164941,51,16,0.7863568215892054,relu,uniform,uniform,8,relu,uniform,uniform,16,64,0.2,200,16,sigmoid,binary_crossentropy,6.039999999999999,14000,2,4,<class 'keras.optimizers.Adam'>,1.3730366492146597,2,2
7,0.691036579445896,0.6239316249505068,0.693599344095352,0.42897998104786395,51,16,0.7863568215892054,relu,uniform,uniform,32,relu,uniform,uniform,32,32,0.4,200,16,sigmoid,binary_crossentropy,6.039999999999999,14000,2,1,<class 'keras.optimizers.Nadam'>,1.3730366492146597,2,2
7,0.6929371015638368,0.6239316249505068,0.6933433848181944,0.500476644650542,51,16,0.7863568215892054,relu,uniform,uniform,32,relu,uniform,uniform,16,32,0.0,200,16,sigmoid,binary_crossentropy,4.06,14000,4,1,<class 'keras.optimizers.Adam'>,1.3730366492146597,2,2
10,0.12042724678659031,0.37606837632309675,0.12022813728471617,0.3641563393992396,51,16,0.7863568215892054,relu,uniform,uniform,8,relu,uniform,uniform,32,64,0.0,200,16,sigmoid,logcosh,4.06,14000,4,2,<class 'keras.optimizers.Nadam'>,1.3730366492146597,2,2
7,0.6936190877205286,0.3760683811627902,0.6933864009050782,0.42707340278661854,51,32,0.7863568215892054,relu,uniform,uniform,16,relu,uniform,uniform,16,64,0.30000000000000004,200,16,sigmoid,binary_crossentropy,8.02,14000,2,1,<class 'keras.optimizers.Adam'>,1.3730366492146597,2,4
13,0.6926094690958658,0.6239316249505068,0.693293726137414,0.4795042900270911,51,16,0.7863568215892054,relu,uniform,uniform,8,relu,uniform,uniform,16,64,0.0,200,8,sigmoid,binary_crossentropy,4.06,14000,2,4,<class 'keras.optimizers.Adam'>,1.3730366492146597,2,2
14,0.5500918682823833,0.7350427355521765,0.597813266419137,0.7178265014867538,51,16,0.7863568215892054,relu,uniform,uniform,8,relu,uniform,uniform,16,32,0.1,200,16,sigmoid,binary_crossentropy,0.1,14000,1,2,<class 'keras.optimizers.Adam'>,1.3730366492146597,2,4
